Green Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,H04N,G06K,G02B,G06T,C12Q,A61K,C12N,G06F,H01L,A61M,B82Y,G01V,G02F,G01B,B01L,B65D,G01S,A61P,C12H,G01R,G06Q,H04L,A01C,A61N,C07H,C08F,C09D,C12M,C12P,E21B,A01H,B03C,B05D,B29D,C07C,E21C,G01C,G01W,G02C,G03B,G06N,G09G,G16H,H01F,,,,
Número,39,34,25,23,21,18,12,11,9,8,8,7,6,6,6,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,G06K,H04N,G02B,G01V,A61B,C12Q,G01B,G06F,G06T,C12N,H01L,C40B,G02F,G08B,A61K,B82Y,G01C,G06Q,A01H,B03C,C12M,C12P,F21V,G01R,G01S,H01F,H01J,A47B,A47G,A61P,A63F,B01D,B01F,B01J,B01L,B09C,B65D,B82B,C07C,C07F,C07H,C08G,E21B,E21C,G01Q,G01W,G03B,G03H,
Número,45,31,26,23,16,13,12,7,7,7,7,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,G06K,G06F,A61B,G02B,G01V,G06T,H04N,C12Q,H01L,C12N,E21B,G01C,G03B,B64B,C07C,C09K,C12P,C23F,F16P,G01B,G01S,G02F,G06G,G06Q,G08B,H04B,A23C,B05D,B07C,B32B,C07K,C12G,C12H,C12M,C40B,G01P,G06N,G07D,G09G,G16H,H01F,H03M,H04L,H05B,,,,,
Número,39,35,25,21,15,15,12,12,12,7,6,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
