Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;G06F;G01J;A61B;G01R;G02B;G06K;G06N;A01C;B01F;B01L;B30B;B65G;C07C;C07H;C09K;C12M;F15C;F15D;G01B;G01D;G01M;G01Q;G02F;G05B;G06Q;G16H;H01J;;;;;;;;;;;;;;;;;;;;;;
Nomero;41;5;5;4;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G06F;C12Q;A61K;C07K;G10L;A61P;C07H;C12M;C12N;C12P;F23G;F23N;G01R;G02B;G05B;G16H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;13;5;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;C12Q;G06F;A61K;A61P;C12N;G06K;G06T;A01N;A23C;A23L;B30B;C07C;C07D;C12R;G01D;G01J;G01K;G01M;G01Q;G02B;G06Q;H01J;H04Q;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;24;5;4;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61B;G06F;B01L;B30B;C07K;G01M;G02B;G06K;G06N;G06T;H01J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;19;4;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;G01J;A61N;G06F;A61K;A61P;F42B;G01D;G01K;G08C;H01J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;17;5;4;2;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;A61K;G06K;A61P;C01B;C01D;C01F;C01G;H01J;A61M;A61N;C12Q;G01V;G06F;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;11;4;4;4;3;2;2;2;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G06F;G01J;A61K;A61P;G06T;A61B;B01J;B82Y;C12Q;F42B;G06G;G06K;G07C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;17;6;4;2;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;G01J;A61K;C02F;A61P;B32B;B82Y;C12P;C12Q;C12R;G01R;H01L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;15;4;4;3;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;G01J;A61B;G06T;A61K;A61P;B01D;B06B;C07H;C12M;C12N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;12;5;5;2;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G06F;G01J;A61B;A61K;C12Q;G06K;A47B;A61J;A61N;A61P;C04B;G01B;H01J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;16;5;4;3;2;2;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A01N;A61B;C07K;C08G;G01J;G06F;G06N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;5;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G01J;A61B;C12Q;A61M;C07H;G10L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;8;5;3;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;G01J;C08K;C08L;C09B;G01D;G01R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;5;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01J;G01N;A61B;C12Q;G01B;G01D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;A61B;F23C;G01R;G01V;G06K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;5;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61B;G01N;G06F;G06K;A01J;G01R;G01V;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;4;4;4;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61B;G01N;G06F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;B01J;C12Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Multivariate analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;A61P;A61B;C07K;G16H;C12N;G16B;G06F;G06T;A61N;G06K;A23L;B01L;G06N;A01K;C07D;G01J;A21D;A23C;A61F;A61L;A61M;B01D;B01J;C02F;C04B;C07C;C07H;C08F;C12R;C40B;G16C;;;;;;;;;;;;;;;;;
Nomero;98;77;53;27;22;17;15;10;10;9;9;5;5;4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C07K;A61B;A61P;G06F;C12N;G06K;G06T;G16H;A23L;H01J;A01K;A61L;A61M;A61N;C07C;C40B;G01J;B82Y;C07D;C07H;C12M;C12P;G06N;G09B;G16B;H01L;A01G;A01N;A23C;A23G;A23K;A23P;A61C;A61Q;A63F;B01L;B29C;B29K;C02F;C08F;C08K;C08L;C09D;C09K;D06M;G01Q;G01R;
Nomero;123;70;54;25;23;19;18;10;8;7;7;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;A61B;C07K;C12N;G06F;A61P;G01J;C07H;C12P;C12R;G01R;G06T;C40B;G06K;A23L;G16H;A01H;A01K;A01N;G06N;H01J;A61M;A61N;B01D;B01L;B60H;B60K;C07D;C09B;C12M;F02D;G01B;G01C;G01D;G01M;G02B;G02F;G05B;G06Q;H01S;;;;;;;;;
Nomero;102;76;46;26;24;23;20;14;10;5;5;5;5;5;4;4;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;A61B;C07K;C12N;G06F;A61P;C40B;C07H;A61N;G01J;C12M;G06K;G06T;H01J;C07D;A01K;A63F;A01N;C12P;G01R;G09B;A01H;A23B;A23C;A23L;A61J;A61M;B01J;B01L;B82Y;C02F;C04B;C07C;C07F;G02B;H01S;H03M;;;;;;;;;;;;
Nomero;139;103;50;26;26;24;22;18;9;7;6;6;5;5;5;5;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;G06F;A61B;C12N;C07K;A61P;C07H;G16H;A61N;C12P;G06K;C40B;G06T;A01K;A23C;A23L;C12M;G01J;A01H;A01N;A61F;A61L;A61M;B01D;C08B;C10L;C12R;G06G;G06Q;H01L;H01S;;;;;;;;;;;;;;;;;;
Nomero;130;99;42;27;20;16;15;12;8;5;4;4;4;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;G06F;A61B;C07K;C12N;A61P;C40B;C12P;G06T;A01N;C12M;G01J;G06K;G06Q;G16B;A61L;B01D;C02F;C07D;C07H;C08F;H01J;H04L;A42C;A61M;A61N;A62D;B03D;B60K;B60W;C12R;G01R;G06G;G16H;H01H;H01M;H04B;H04J;;;;;;;;;;;
Nomero;119;96;43;29;28;20;16;12;8;5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C12N;C07K;A61B;A61P;G06F;C40B;A61M;C12P;G01J;C10L;G06K;A23K;G06T;A01H;A01N;A23L;A61L;C07H;D21B;D21C;G06Q;H01J;A61F;A61N;B01L;B82Y;C02F;C07D;C08L;C12M;H04N;;;;;;;;;;;;;;;;;
Nomero;122;102;33;21;16;14;14;12;8;6;6;6;5;5;4;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12Q;G01N;A61K;A61B;C12N;G06F;C07K;A61P;C40B;C07H;G06K;A01N;A01H;A61F;A61M;G06T;H04N;A01K;A61L;C12P;H01J;A23K;A61H;B25J;B65D;C07D;C08F;C10L;C12M;G01J;G01V;G05B;G06G;G06N;G06Q;;;;;;;;;;;;;;;;
Nomero;102;91;29;17;16;15;12;11;9;6;6;4;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C12N;A61P;C07K;C40B;G06F;C07H;A61B;C07D;G01R;A01H;C10L;G01J;G06G;G06K;A01P;A23K;C12M;G01V;G06Q;G06T;H01J;A01N;A61F;A61L;A61M;B01D;C07C;C12P;E21B;G02B;G06N;G10L;G11B;H01L;H04N;;;;;;;;;;;;;
Nomero;98;93;35;26;24;18;14;14;13;7;6;5;4;4;4;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12Q;G01N;A61K;C40B;G06F;C12N;A61B;A61P;C07H;C07K;C12P;G01J;G06N;G01R;A01N;G06K;A61M;C07C;C07D;G01B;A01K;A01P;A23L;A61F;B01D;B32B;B60G;B60K;B82Y;C07J;C12M;E21B;G05B;G05D;G06G;G06T;H01J;;;;;;;;;;;;;;
Nomero;99;89;23;18;18;17;15;13;8;8;7;5;5;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12Q;G01N;A61K;C12N;A61P;G06F;A61B;C07H;C07K;C40B;C12P;A01H;G06K;A01N;C12M;G01J;G06G;H04R;A01K;A61J;B01D;C07D;G06N;G06Q;G06T;G09B;H01J;H04S;;;;;;;;;;;;;;;;;;;;;;;
Nomero;78;64;24;20;16;15;11;10;10;9;4;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12Q;G01N;A61K;C07H;A61B;C07K;C12N;A61P;G06F;C40B;C12P;A01N;G06K;A01K;A01P;G01R;G06G;G06T;A01H;A01J;A23L;C07C;C07F;C11B;G01J;G01T;G06N;G06Q;H01J;;;;;;;;;;;;;;;;;;;;;;
Nomero;79;72;30;25;20;20;20;19;13;12;7;4;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12Q;G01N;A61K;C12N;C07K;G06F;A61P;C07H;A61B;A01N;G01J;C12P;C40B;A01P;C07D;C08J;C08L;C09D;C09K;G06G;A01K;B01L;C04B;C07J;C12M;G06E;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;57;53;25;15;14;13;11;9;8;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C07H;A61B;G06F;C07K;C12N;A61P;C12P;A01N;C07D;C40B;A01K;B01L;B05D;B23K;C08F;C08J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;46;38;19;13;11;11;10;9;7;5;3;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C07K;C12N;C12P;C07H;A61B;G06F;A61P;A01N;G01R;A01J;B01J;B22F;B60G;B60K;C02F;C07D;C08K;C09C;C09K;C12M;G01D;G01J;G01S;G02B;G02F;G05B;G06N;G06T;G21K;;;;;;;;;;;;;;;;;;;
Nomero;42;41;18;11;10;10;9;6;6;5;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;A61B;C12N;G06F;C07K;G06K;A61P;C07H;G06T;C12P;A01K;A01N;A61M;G09B;A01H;A01J;A23B;A23L;B01D;B01J;B22F;C08K;C09C;C09K;G01D;G01F;G01M;G02F;G06N;G21K;;;;;;;;;;;;;;;;;;;
Nomero;30;26;23;10;9;9;6;5;4;4;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C12N;G06F;C07K;A61B;C12P;C07H;A01K;A01N;A61P;G06T;A61N;C12M;E21B;G01R;G06K;A61M;C12R;F23C;G01M;G01V;G06G;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;52;47;27;12;12;11;5;5;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C07K;C12N;A61B;C12P;G06F;C07H;G01R;A01N;A61P;G06K;A01J;A01K;C07D;C12M;C12R;G01D;G01V;G06Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;45;35;22;14;12;7;6;5;4;4;3;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C07K;A61B;A61P;C12N;C12P;G06F;G06K;A61N;C07H;E21B;G01J;A01K;A01N;C07C;G01Q;G01R;G01V;G02B;G07K;H01L;H04N;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;19;12;11;11;8;7;7;5;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61K;C07K;A61P;A61B;C12P;G01J;A61N;C07H;C12N;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;15;11;10;8;6;3;3;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;G01N;C12Q;A61B;A61K;C07H;C07K;A61P;C12N;A01N;C12P;F25B;G01J;G01R;G06F;G06N;G06T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;16;6;5;4;3;3;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organic Chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07K;C12N;C07C;G01N;C07F;C12Q;C07H;B01J;C08G;A01N;C08F;A61L;C12P;H01L;B01D;C07B;C09K;A61B;C01B;C08J;C08L;B01L;C07J;C09B;H01M;A23L;A61N;C40B;C02F;G02B;A61M;A61Q;B82Y;C08B;C10L;H01B;A01K;C08K;C09D;C25B;G03F;G06F;H01J;A61F;C10M;C23C;D01D;
Nomero;650;380;367;174;162;150;127;78;67;55;48;41;27;27;23;23;22;21;19;16;15;13;13;13;12;11;10;9;8;8;8;7;7;6;6;6;6;6;6;5;5;5;5;5;5;5;4;4;4;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;A61P;C07K;C07C;C12N;G01N;C12Q;C07F;B01J;C07H;C08G;H01L;A61L;C07B;C08F;C08L;A01N;C12P;B01D;B82Y;A61B;C07J;C08J;B01L;C09K;C01B;C08B;C09B;C40B;H01M;C09D;G06F;C02F;A61M;A61N;C08K;A23L;A61Q;C23C;A01P;C01G;D01F;A61F;B01F;C12M;C25B;G02B;H01J;A01K;
Nomero;685;408;321;186;164;131;119;85;77;66;64;40;26;25;25;24;23;22;21;18;18;17;17;16;13;13;12;11;10;10;10;9;9;8;7;7;7;6;6;6;5;5;5;4;4;4;4;4;4;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C07D;C07K;A61P;C07C;C12N;G01N;C07F;C12Q;C07H;B01J;A01N;C08G;C12P;C08F;B01D;A61L;C07B;H01L;B82Y;C07J;A61N;B01L;C01B;C08J;C09K;A01P;C02F;C08L;H01M;C09B;A61B;G06F;A23L;C08B;C40B;H01J;C09J;C25B;H01B;B05D;C01G;C09D;G02B;G02F;H01G;A61F;A61M;A61Q;B22F;
