Green Chemistry,"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,A61B,G01J,G02B,G06T,G06K,H04N,C12Q,A61K,C12N,G02F,G03H,H03M,A23B,B82Y,C07K,C08J,C08L,C12M,G01B,G01C,G01S,G03B,G03F,G05D,G09B,G09G,H01L,H01Q,,,,,,,,,,,,,,,,,,,,,,
Número,15,10,10,9,7,6,6,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,A61B,G01J,G02B,G06K,G06T,H04N,G02F,G06F,G01B,G03B,B01J,B05D,B07C,C12Q,C25C,G01C,G01S,G03H,H01L,H01S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,18,11,8,6,6,5,5,4,4,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,G01J,A61B,G02B,G02F,G06T,A61K,B82Y,H01L,H01S,C12Q,G06F,H04N,A61G,A61N,C07K,C12N,G01Q,G01S,G01T,G01V,G03B,G03F,G03H,G06K,H01Q,H03M,,,,,,,,,,,,,,,,,,,,,,,,
Número,19,12,10,9,7,6,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,A61B,G01N,G01J,G06K,A61K,G01S,G01T,G02B,G03B,G06T,H04N,A61M,B03D,G01B,G06F,H01Q,H03M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,9,8,5,3,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,H04N,G01J,G06F,G06K,A61B,A61K,G01B,G06T,B82Y,C09K,G01V,H04L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,8,4,3,3,3,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,G01J,A61K,H04N,A61P,G06K,A61B,B82Y,G01B,G01V,C08G,C09K,C12M,C12N,C12Q,G01S,G01W,G06T,H01L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,9,6,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,G01J,G06K,A61B,G02B,A61K,G02F,A61G,A61P,B01L,C08G,C08K,F21V,G03H,G06F,G06T,G21G,H01L,H04R,H05B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,9,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01N,A61B,G01J,G06T,C12Q,A61G,A61K,A61N,A61P,B64F,C07K,C09B,C40B,G01B,G01D,G01S,G02B,G03F,G06F,H01S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,13,10,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,A61B,A61K,G01J,G01N,G06K,H03M,G02B,H04N,A61P,G03F,G11B,H04L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,8,4,4,4,4,4,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,A61B,A61K,G01B,G01S,G02B,G02F,G06K,H01S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,5,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,G01J,G01N,G02F,A61K,H01S,C06D,G08B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,4,3,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, G01N,A61B,G01J,B01J,C12M,C12Q,G06F,G06K,G06T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,3,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, G01B,G01J,G01N,A61B,B01J,C12M,C12Q,G01T,G02B,G02F,G06T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP, B01J,C40B,G01J,G01N,G02B,G03F,G06K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
